03-08 09:47:39.928     0     0 I I00000/HiLog: ========Zeroth log of type: init
03-08 09:47:41.771   367   367 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
03-08 09:47:41.771   367   367 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
03-08 09:47:42.547   367   367 I I02c01/CustCarrierMount: success to update cota carrier
03-08 11:41:39.330  5408  5408 I A00000/moduleframework: [a92abfeff2d9c5e, 3e795c5, 18dede2] getConfigInstance import:InstallPackageStaticEvento35
03-08 11:41:39.330  5408  5408 I A00000/moduleframework: [a92abfeff2d9c5e, c73ea1, 307438b] getConfigInstance import:PackageChangedStaticEvent
03-08 11:41:39.331  1492  1492 I A0ff00/[HiAd]: AdsDataUtils, enter isAllowStartData
03-08 11:41:39.332  5408  9375 I A06666/AppGallery: random:1772941637244, index:0,[ShaderProfileUtil]:getParam persist.sys.dcco.enabled error, Error: System parameter not found
03-08 11:41:39.332  1492  1492 W A0ff00/[HiAd]: AdsDataUtils, firstRequestAd true
03-08 11:41:39.332  1492  1492 I A0ff00/[HiAd]: AppEventListener, not allow start data
03-08 11:41:39.332  5408  9375 E A06666/AppGallery: [ShaderProfileUtil]:chmod failed, SyntaxError: the requested module '@normalized:Y&&&libdownloadinstallmanage.so&' does not provide an export name 'chmod' which imported by '&@hw-ae-business/download-install/src/main/ets/impl/appoptimizationresource/shaderbin/ShaderUtil&'
03-08 11:41:39.332  1492  1492 I A0ff00/[HiAd]: initInstallReceiver, receive event, event is:usual.event.PACKAGE_ADDED, bundleName is : com.example.myapplication
03-08 11:41:39.332  5408  9375 I A06666/AppGallery: random:1772941365539, index:0,[CommonErrorReporter]:doReport: {"pageId":"","type":"3","extend":"{\"name\":\"ShaderProfileUtil\",\"errorMessage\":\"chmod failed, SyntaxError: the requested module '@normalized:Y&&&libdownloadinstallmanage.so&' does not provide an export name 'chmod' which imported by '&@hw-ae-business/download-install/src/main/ets/impl/appoptimizationresource/shaderbin/ShaderUtil&'\"}"}
03-08 11:41:39.332  5408  9375 I A06666/AppGallery: random:1772941627173, index:0,[BiReport]:Analytics init is not complete.
03-08 11:41:39.332  1492  1492 I A0ff00/[HiAd]: BundleNameContainer, updatePackageName has not Key: com.example.myapplication
03-08 11:41:39.338  1405  1405 I A01b06/KG: CommonEventMonitor: Receive commoneEvent: usual.event.PACKAGE_ADDED
03-08 11:41:39.348  1405  1405 I A04200/WINDOW: SCBSSM: handlePackageEvent event = usual.event.PACKAGE_ADDED bundleName: com.example.myapplication userId: 100 isModuleUpdate: false bundleType: 0 atomicServiceModuleUpgrade: 0 appIndex: 0
